2016	0.665	But that you may know that the Son of man has authority on earth to forgive sins" --he then said to the paralytic--"Rise, take up your bed and go home."
4301	0.6076666667	But I don't know any woman that can best a man in physical combat.
2662	0.807	If it's small - well it evolved small to survive.
1669	0.89525	So because we might kill an innocent that means we should stop killing ALL murderers?
5254	0.1315	No, its not stupid.
2519	0.065	Pastors and Ministers come and talk to them and ask them if they want God's forgiveness.
1592	0.9206	If it could be said for certain that a murderer, rapist, or a pedophile would get life without the possibility of parole then I might be more for that........The problem is that sentence has been given to murderers in the past and some liberal judge down the road has seen fit to release the perpetrator and allowed him to go out and murder and rape again.......... That is why I say execute them and you will not face the possibility of that happening.........
3382	0.5135	If there is no possible way that there theory can even be started, then it is already discredited, unless they imagine they can invent a creator.
4035	0.7944	If criminals will always do what they like and using a firearm more nearly assures their successful undertakings, why is it that in countries where the populace is not generally armed we don't see handguns being used by criminals.
1738	0.8079999999999999	So the initial murder wasn't enough to show "that they are willing to commit acts of violence"?
5282	0.1	emoticonXKill emoticonXKill emoticonXKill I've got 7.62 reasons why this would never work......
3656	0.30725	If the later is the case, then there MUST be an area of telomeric sequences (they are found at the ends of chromosomes) that consists of two head to head sequences at the point of the proposed fusion.
490	0.6234285714	Why is it "special" for us to have what heterosexuals take for granted?
3964	0.7235	We, NOT the government are responsible for our lives.
862	0.48225	So, as you can see, I don't buy the oppressed moniker.
1006	0.3705	If there are "millions of Catholics" who believe as you do, then I'd say they were the true examples of Cafeteria Catholics.....or maybe A la carte Catholics.
2554	0.9516666667	Creationists have to pretty much reject most of science.
1383	0.192	So, here's my proposition:LET'S DO BOTH!!!!!!!
2245	0.514	So you favor vigilante justice, making you the judge, jury, and executioner of someone, all the while denying them their constitutional right to due process in our legal system?
4534	0.5225	It's hard to be faster than a Mexicana.
2917	0.7943333333	If modern evolutionary understanding of speciation is correct, then at least some species are required to show incomplete separation, because they will be partway along the journey to speciation.
1362	0.2122	Yes, but it doesn't matter.
3700	0.413	First of all, the notion of holistic memory, otherwise known as morphic resonance, goes back to 1981, when Elsasser proposed it in the Journal of Theoretical Biology and Sheldrake independently proposed it in his book, A New Science of Life.
